Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACCT,2301,5U1,,6,1,2,1,2,3,1,,,,,,,,1,"Files, Rebecca L","Gu, Dongdi",,,,,yxh124430,ying huang
ACCT,2302,5U1,6,4,3,,3,1,3,4,2,4,3,1,,,,4,"Zolton, Kathy","He, Jiapeng",,,,,cah041000,christopher hess
ACCT,3331,5U1,2,1,4,2,,1,3,1,3,,1,,,,,4,"Zhou, Yibin","Gu, Dongdi",,,,,yxz066000,yibin zhou
ACCT,3341,5U1,1,2,2,2,2,1,2,,1,1,2,,,,,0,"Johnson, Jennifer","Zhang, Yang",,,,,jrk013000,jeffrey kromer
ACCT,3350,5U1,,2,2,,6,2,3,1,,,1,,,,,0,"Gamino, John P",,,,,,jpg140630,john gamino
ACCT,4334,5U1,,1,1,3,5,1,,2,1,2,,,,,,0,"Hes, Christopher A","Gu, Dongdi",,,,,cah041000,christopher hess
ACCT,4340,5U1,4,7,1,1,4,4,,1,1,,1,,,,,1,"Johnson, Jennifer",,,,,,jxj091000,jennifer johnson
ACCT,6194,SW1,,6,,,2,,,,,,,,,,,2,"Johnson, Jennifer",,,,,,jxj091000,jennifer johnson
ACCT,6202,0W1,,9,13,12,11,5,3,2,,,,,,,,1,"Janakiraman, Surya","Zhang, Yang",,,,,suryaj,surya janakiraman
ACCT,6301,5U1,,3,4,7,5,3,,1,,,,,1,,,1,"Ballew, Gregory E","Holstead, Cameron",,,,,srp065000,stephanie poindexter swaim
ACCT,6305,0W1,,15,11,12,2,,,,,,,,,,,1,"Janakiraman, Surya","Zhang, Yang",,,,,suryaj,surya janakiraman
ACCT,6330,0W1,,1,,1,3,,,3,,,,,1,,,2,"Cready, William M","Holstead, Cameron",,,,,wmc041000,william cready
ACCT,6331,0W1,,1,,,8,,,1,,,,,,,,1,"Cready, William M","Holstead, Cameron",,,,,wmc041000,william cready
ACCT,6331,SW1,,4,8,4,1,,,,,,,,,,,0,"Janakiraman, Surya","Zhang, Yang",,,,,suryaj,surya janakiraman
ACCT,6333,5U1,,7,,,6,,,1,,,,,,,,1,"Zolton, Kathy","He, Jiapeng",,,,,kxz121730,kathy zolton
ACCT,6338,5D1,,16,3,,4,,,,,,,,,,,0,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich
ACCT,6344,0W1,,25,16,14,4,2,,,,,,,,,,0,"Gurun, Umit","Gu, Dongdi","Holstead, Cameron",,,,ugg041000,umit gurun
ACCT,6344,SW1,,9,4,3,,,,,,,,,,,,0,"Solcher, Steven J","Zolton, Kathy",,,,,sjs107020,steven solcher
ACCT,6353,PPA,,12,12,3,4,,,,,,,,,,,0,"Solcher, Steven J",,,,,,sjs107020,steven solcher
ACCT,6365,5U1,,17,19,21,9,8,1,,,,,,,,,0,"Cheng, Samuel",,,,,,sxc109021,samuel cheng
ACCT,6367,5U1,,38,5,1,4,1,,1,,,,,,,,0,"Gamino, John P","Frost, Sandra M",,,,,jpg140630,john gamino
ACCT,6384,0W1,,56,5,2,,,,,,,,,1,,,1,"Kromer, Jeffrey","He, Jiapeng",,,,,jrk013000,jeffrey kromer
ACCT,6392,5U1,,4,20,20,14,3,,,,,,,,,,0,"Hes, Christopher A","Gu, Dongdi",,,,,cah041000,christopher hess
ACN,6338,0U1,,5,,,4,,,,,,,,,,,1,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana
ACN,6344,0W1,,12,,,,,,,,,,,,,,0,"Orrick, Erika D",,,,,,edo042000,erika orrick
ACN,6395,0W1,,10,1,1,,,,1,,,,,,,,0,"Hooge, Kimberley O",,,,,,koh170030,kimberley orsten hooge
ACN,6V81,0U1,,17,1,,1,,,,,,,,,,,0,"McWilliams, Steven P",,,,,,sxm127330,steven mcwilliams
AMS,2300,0U1,,6,2,1,3,,,1,,,,,,,,0,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak
AMS,3316,0W1,14,7,6,1,,,1,,,,,,1,,,0,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
